Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
11.82,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
12.02,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
12.23,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
12.44,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
12.64,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
12.84,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
13.06,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
13.26,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
13.46,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
13.66,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
13.87,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
14.07,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
14.29,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
14.5,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
14.71,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
14.91,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
15.12,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
15.32,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
15.53,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
15.73,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
15.94,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
16.14,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
16.35,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
16.55,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
16.77,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
16.98,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
17.19,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
17.39,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
17.6,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
17.81,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.03,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.24,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.45,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.66,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.87,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
19.08,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
19.29,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
19.49,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
19.7,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
19.9,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.12,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.32,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.52,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.73,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.94,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
21.14,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
21.34,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
21.55,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
21.75,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
21.96,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.17,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.37,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.58,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.78,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.98,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
